"City","report_date","yoy_pct_change","State","Country"
"Raleigh",2020-03-09,-0.18,"North Carolina","United States"
"Cincinnati",2020-03-09,-0.18,"Ohio","United States"
"Columbus",2020-03-09,-0.26,"Ohio","United States"
"Portland",2020-03-09,-0.16,"Oregon","United States"
"Philadelphia",2020-03-09,-0.07,"Pennsylvania","United States"
"Pittsburgh",2020-03-09,-0.13,"Pennsylvania","United States"
"Nashville",2020-03-09,-0.13,"Tennessee","United States"
"Austin",2020-03-09,-0.41,"Texas","United States"
"Dallas",2020-03-09,-0.15,"Texas","United States"
"Houston",2020-03-09,-0.14,"Texas","United States"
"San Antonio",2020-03-09,-0.32,"Texas","United States"
"Seattle",2020-03-09,-0.47,"Washington","United States"
"Calgary",2020-03-08,-0.04,"Alberta","Canada"
"Edmonton",2020-03-08,0.04,"Alberta","Canada"
"Vancouver",2020-03-08,-0.01,"British Columbia","Canada"
"Toronto",2020-03-08,0.05,"Ontario","Canada"
"Montréal",2020-03-08,0.38,"Quebec","Canada"
"Hamburg",2020-03-08,0,"","Germany"
"München",2020-03-08,-0.09,"","Germany"
"Dublin",2020-03-08,-0.07,"","Ireland"
"Ciudad de México",2020-03-08,-0.09,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-08,-0.03,"Nuevo Leon","Mexico"
"London",2020-03-08,-0.07,"","United Kingdom"
"Phoenix",2020-03-08,-0.08,"Arizona","United States"
"Scottsdale",2020-03-08,-0.1,"Arizona","United States"
"Los Angeles",2020-03-08,-0.15,"California","United States"
"San Diego",2020-03-08,-0.07,"California","United States"
"San Francisco",2020-03-08,-0.26,"California","United States"
"Denver",2020-03-08,0.02,"Colorado","United States"
"Washington",2020-03-08,0,"District of Columbia","United States"
"Fort Lauderdale",2020-03-08,-0.14,"Florida","United States"
"Miami",2020-03-08,0.1,"Florida","United States"
"Miami Beach",2020-03-08,-0.1,"Florida","United States"
"Naples",2020-03-08,-0.06,"Florida","United States"
"Orlando",2020-03-08,-0.08,"Florida","United States"
"Tampa",2020-03-08,-0.02,"Florida","United States"
"Atlanta",2020-03-08,0.13,"Georgia","United States"
"Honolulu",2020-03-08,-0.18,"Hawaii","United States"
"Chicago",2020-03-08,0.13,"Illinois","United States"
"Indianapolis",2020-03-08,-0.01,"Indiana","United States"
"Louisville",2020-03-08,0.03,"Kentucky","United States"
"New Orleans",2020-03-08,-0.03,"Louisiana","United States"
"Baltimore",2020-03-08,-0.04,"Maryland","United States"
